time,x,y,z,vx,vy,vz,ax,ay,az,P1,P2,P3,P4,Pt1,Pt2,Pt3,Pt4,L2_dyn,L3_dyn,Pe1,Pe2,Pe3,Pe4
228.2200000000116,5.043253229479767,3.70606435435108,0.0,-0.0214730900377047,-0.4995360921129954,0.0,-0.0001601087330771,-0.0001231914598803,0.0,965.8600356765905,965.8421419245819,639.0559643234094,639.073858075418,-0.006876868277697276,-0.013277254558719802,-0.013277254558719802,-0.006876868277697276,-0.06108687012263618,0.17078239608801954,965.8669125448682,965.8554191791407,639.0692415779681,639.0807349436957
228.3050000000116,5.041427776599822,3.6636036088911417,0.0,-0.02147591623464,-0.4995381818816228,0.0,-3.324937570943895e-05,-2.4585513263139675e-05,0.0,989.461466927128,989.4577509768988,615.454533072872,615.4582490231012,-0.0012505170252459352,-0.0027716729446037158,-0.0027716729446037158,-0.0012505170252459352,-0.06991123042604636,0.17078239608801954,989.4627174441532,989.4605226498434,615.4573047458166,615.4594995401264
228.3900000000116,5.039602286151357,3.621142836852626,0.0,-0.0214763582172369,-0.4995384945707706,0.0,-5.199795257932885e-06,-3.6786958564317215e-06,0.0,1013.0648162535805,1013.0642351244625,591.8511837464195,591.8517648755375,-0.00016695870279111665,-0.0004348759393211129,-0.0004348759393211129,-0.00016695870279111665,-0.07873559625312171,0.17078239608801954,1013.0649832122833,1013.0646700004017,591.8516186223587,591.8519318342403
228.4750000000116,5.037776789816217,3.5786820608381325,0.0,-0.0214764274722386,-0.4995385413469849,0.0,-8.147647262750765e-07,-5.503084034215699e-07,0.0,1036.6686622831069,1036.6685712250012,568.2473377168928,568.2474287749988,-2.1672527714316535e-05,-6.835792708545231e-05,-6.835792708545231e-05,-2.1672527714316535e-05,-0.08755996290650059,0.17078239608801954,1036.6686839556346,1036.6686395829283,568.2474060748199,568.2474504475265
228.55500000001163,5.036058674799632,3.5387189770036525,0.0,-0.0214764377073128,-0.4995385479309999,0.0,-1.2793842786400222e-07,-8.230018819221918e-08,0.0,1058.8841240004235,1058.884109702025,546.0318759995764,546.0318902979752,-2.719096709899236e-06,-1.0745214078347822e-05,-1.0745214078347822e-05,-2.719096709899236e-06,-0.09586524927796954,0.17078239608801954,1058.8841267195203,1058.884120447239,546.0318867447905,546.031893017072
228.63500000001164,5.034340559611713,3.498755893064154,0.0,-0.0214764398489886,-0.4995385492437332,0.0,-2.677094657066448e-08,-1.6409165692898853e-08,0.0,1081.0995997774774,1081.0995967855563,523.8164002225226,523.8164032144437,-4.2979276769560814e-07,-2.254746739662644e-06,-2.254746739662644e-06,-4.2979276769560814e-07,-0.10417053567126389,0.17078239608801954,1081.0996002072702,1081.099599040303,523.8164024772693,523.8164036442364
228.71500000001168,5.032622444387861,3.458792809103723,0.0,-0.0214764402981515,-0.499538549505385,0.0,-5.614536613407495e-09,-3.270647641606672e-09,0.0,1103.3150775806776,1103.3150769531971,501.6009224193224,501.600923046803,-6.091230105001924e-08,-4.741656531168323e-07,-4.741656531168323e-07,-6.091230105001924e-08,-0.11247582206890842,0.17078239608801954,1103.3150776415898,1103.315077427363,501.600922893488,501.60092310771535
228.79500000001167,5.030904329156454,3.4188297251391218,0.0,-0.0214764403925871,-0.4995385495575155,0.0,-1.1804446309326975e-09,-6.516315265159277e-10,0.0,1125.530555830781,1125.5305556988546,479.38544416921883,479.38544430114536,-6.652784387033035e-09,-9.995413335097274e-08,-9.995413335097274e-08,-6.652784387033035e-09,-0.12078110846741967,0.17078239608801954,1125.5305558374337,1125.5305557988088,479.385444269173,479.38544430779814
228.88000000001168,5.029078831721285,3.376368948425795,0.0,-0.0214764404137505,-0.4995385495685495,0.0,-2.489818808642747e-10,-1.2981119447337783e-10,0.0,1149.1345015779684,1149.1345015501424,455.78149842203123,455.78149844985745,-6.000311925315438e-11,-2.1177108296591458e-08,-2.1177108296591458e-08,-6.000311925315438e-11,-0.1296054752660328,0.17078239608801954,1149.1345015780284,1149.1345015713196,455.78149844320836,455.7814984499175
228.96500000001168,5.02725333428583,3.3339081717123284,0.0,-0.0214764404171152,-0.4995385495701952,0.0,-3.9583899883389916e-11,-1.9361636477095304e-11,0.0,1172.738447346427,1172.7384473420032,432.177552653573,432.1775526579969,2.0914096877127112e-10,-3.3767046964240626e-09,-3.3767046964240626e-09,2.0914096877127112e-10,-0.138429842064675,0.17078239608801954,1172.7384473466361,1172.7384473453799,432.17755265694973,432.177552658206
