time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz
153.2320000000021,2.9635333078533814,3.687835272204298,0.0,-0.49359244435656646,0.23979445674734978,0.0,0.052443153481310234,-0.024017874274487316,0.0,-0.005252719700171715,0.002405636345508,0.0
153.2480000000021,2.9556492327102517,3.691665844774163,0.0,-0.49275469644560754,0.23941078561656726,0.0,0.05235924443493245,-0.023979445673907862,0.0,-0.0052443153986114766,0.0024017875362158936,0.0
153.26400000000208,2.947778540087351,3.695490288427916,0.0,-0.4919182889313034,0.23902772835956987,0.0,0.05227546964400864,-0.023941078562336737,0.0,-0.0052359244327379595,0.0023979444731953015,0.0
153.28000000000208,2.9399212085726467,3.6993086129718233,0.0,-0.4910832196690085,0.23864528399419882,0.0,0.0521918288934331,-0.023902772835690533,0.0,-0.005227546910971381,0.0023941079153877443,0.0
153.29600000000207,2.9320772167883664,3.7031208281964605,0.0,-0.4902494865175189,0.23826345153982187,0.0,0.05210832196810011,-0.02386452839855946,0.0,-0.005219182833311742,0.0023902773206921357,0.0
153.31200000000206,2.924246543390941,3.706926943876738,0.0,-0.48941708733910017,0.23788223001733333,0.0,0.052024948651169245,-0.023826345155533724,0.0,-0.0052108323081792585,0.002386452689108476,0.0
153.32800000000205,2.9164291670709512,3.710726969771927,0.0,-0.4885860199993486,0.2375016184493206,0.0,0.05194170873447368,-0.023788223000795194,0.0,-0.005202494793472845,0.002382634671158068,0.0
153.34400000000204,2.9086250665530735,3.7145209156256835,0.0,-0.4877562823673576,0.23712161585978664,0.0,0.05185860199943826,-0.023750161845872975,0.0,-0.005194170939713805,0.00237882218263874,0.0
153.36000000000203,2.9008342205960242,3.7183087911660744,0.0,-0.486927872315579,0.23674222127442746,0.0,0.05177562823616144,-0.023712161584948932,0.0,-0.005185860204801052,0.0023750163077526643,0.0
153.37600000000202,2.893056607992506,3.7220906061056005,0.0,-0.48610078771987864,0.23636343372038238,0.0,0.05169278723127224,-0.023674222127817446,0.0,-0.00517756280557502,0.0023712160707178853,0.0
153.392000000002,2.885292207569154,3.7258663701412233,0.0,-0.4852750264595085,0.2359852522264283,0.0,0.051610078773134394,-0.02363634337212983,0.0,-0.005169278633615493,0.002367422230475924,0.0
153.408000000002,2.877540998186479,3.7296360929543892,0.0,-0.48445058641718997,0.23560767582286868,0.0,0.051527502644907464,-0.023598525222476296,0.0,-0.005161008014183122,0.0023636343533459114,0.0
153.424000000002,2.8698029587388163,3.7333997842110542,0.0,-0.48362746547891966,0.23523070354156128,0.0,0.05144505864189408,-0.023560767581712327,0.0,-0.005152750188336386,0.0023598525477480647,0.0
153.440000000002,2.86207806815427,3.7371574535617085,0.0,-0.48280566153413584,0.23485433441589043,0.0,0.051362746548988536,-0.023523070354428133,0.0,-0.005144505806596589,0.0023560767052621667,0.0
153.45600000000198,2.854366305394659,3.7409091106414016,0.0,-0.4819851724756907,0.23447856748082252,0.0,0.05128056615281984,-0.023485433441744474,0.0,-0.005136274760543513,0.002352307042728652,0.0
153.47200000000197,2.8466676494554632,3.7446547650697672,0.0,-0.48116599619973943,0.2341034017728505,0.0,0.0511985172469559,-0.02344785674825156,0.0,-0.00512805661649629,0.0023485433433070857,0.0
153.48800000000196,2.83898207936577,3.7483944264510476,0.0,-0.48034813060582326,0.23372883633002162,0.0,0.05111659961976045,-0.023410340176804878,0.0,-0.005119851699715572,0.0023447857154176854,0.0
153.50400000000195,2.8313095741882206,3.7521281043741177,0.0,-0.47953157359684195,0.23335487019188195,0.0,0.05103481306133195,-0.023372883633729358,0.0,-0.00511165990178114,0.0023410339422200166,0.0
153.52000000000194,2.8236501130189553,3.755855808412511,0.0,-0.4787163230790814,0.23298150239958737,0.0,0.05095315736003414,-0.02333548701841104,0.0,-0.005103481331113213,0.002337288457394948,0.0
153.53600000000193,2.8160036749875608,3.759577548124443,0.0,-0.4779023769621582,0.23260873199573706,0.0,0.0508716323077002,-0.0232981502406443,0.0,-0.005095315770871356,0.0023335486104211767,0.0
